"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "MS SQL", "Prisma", "JavaScript", "Docker", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\application\application.error.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\application\errors\conflictApp.error.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\application\errors\notFoundApp.error.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\domain\domain.error.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\domain\errors\validation.error.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\index.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\infrastructure\errors\dependencyUnavailable.error.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\infrastructure\errors\persistence.error.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\infrastructure\infrastructure.error.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\errors\server\server.error.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\filters\globalException.filter.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\interceptors\loggining.intrceptor.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\common\validation\decorators\password-validation.decorator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 7, 37
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\main.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 4, 49
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\admin\admin.controller.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\admin\admin.facade.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\admin\admin.service.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
